Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,86.790001,87.129997,85.370003,86.199997,86.199997,0
2004-01-08,86.239998,86.639999,84.800003,86.029999,86.029999,0
2004-01-15,86.089996,88.070000,86.019997,86.360001,86.360001,0
2004-01-22,86.230003,87.400002,85.480003,86.970001,86.970001,0
2004-01-29,87.389999,87.860001,86.480003,86.839996,86.839996,0
2004-02-05,86.839996,87.089996,85.089996,85.199997,85.199997,0
2004-02-12,85.089996,86.010002,84.559998,85.879997,85.879997,0
2004-02-19,85.730003,87.610001,85.589996,87.250000,87.250000,0
2004-02-26,87.230003,89.839996,87.029999,89.029999,89.029999,0
2004-03-04,89.080002,89.440002,87.599998,88.949997,88.949997,0
2004-03-11,89.000000,89.419998,88.099998,88.650002,88.650002,0
2004-03-18,88.730003,88.980003,87.360001,88.930000,88.930000,0
2004-03-25,88.879997,89.220001,87.489998,87.610001,87.610001,0
2004-04-01,87.570000,89.580002,87.019997,88.269997,88.269997,0
2004-04-08,88.330002,90.660004,88.080002,90.239998,90.239998,0
2004-04-15,90.279999,91.239998,89.389999,91.120003,91.120003,0
2004-04-22,91.160004,91.500000,90.230003,91.169998,91.169998,0
2004-04-29,91.209999,91.559998,89.220001,89.309998,89.309998,0
2004-05-06,89.389999,92.099998,89.279999,91.290001,91.290001,0
2004-05-13,91.309998,92.290001,90.360001,90.529999,90.529999,0
2004-05-20,90.629997,91.300003,89.480003,89.720001,89.720001,0
2004-05-27,89.779999,89.919998,88.379997,88.839996,88.839996,0
2004-06-03,88.860001,89.790001,88.040001,89.730003,89.730003,0
2004-06-10,89.760002,90.419998,89.070000,90.040001,90.040001,0
2004-06-17,90.050003,90.099998,88.820000,89.419998,89.419998,0
2004-06-24,89.389999,89.650002,88.480003,88.800003,88.800003,0
2004-07-01,88.839996,89.070000,87.500000,87.650002,87.650002,0
2004-07-08,87.650002,88.099998,87.150002,87.580002,87.580002,0
2004-07-15,87.669998,88.769997,87.000000,88.559998,88.559998,0
2004-07-22,88.419998,90.139999,88.110001,89.750000,89.750000,0
2004-07-29,89.830002,90.290001,89.339996,89.680000,89.680000,0
2004-08-05,89.589996,89.870003,88.209999,88.849998,88.849998,0
2004-08-12,88.809998,89.290001,87.739998,88.080002,88.080002,0
2004-08-19,88.019997,89.610001,87.660004,89.419998,89.419998,0
2004-08-26,89.440002,90.070000,88.699997,88.870003,88.870003,0
2004-09-02,88.870003,89.750000,88.750000,88.769997,88.769997,0
2004-09-09,88.790001,89.309998,88.110001,89.150002,89.150002,0
2004-09-16,89.150002,89.279999,87.989998,88.510002,88.510002,0
2004-09-23,88.480003,88.559998,87.860001,88.099998,88.099998,0
2004-09-30,88.099998,88.639999,87.349998,88.480003,88.480003,0
2004-10-07,88.440002,88.570000,87.349998,87.879997,87.879997,0
2004-10-14,87.849998,87.980003,86.129997,86.349998,86.349998,0
2004-10-21,86.410004,86.440002,84.730003,85.440002,85.440002,0
2004-10-28,85.459999,85.889999,84.620003,84.699997,84.699997,0
2004-11-04,84.660004,85.070000,83.699997,84.430000,84.430000,0
2004-11-11,84.410004,84.559998,83.260002,83.290001,83.290001,0
2004-11-18,83.320000,83.910004,82.360001,82.410004,82.410004,0
2004-11-25,82.279999,82.459999,81.529999,81.559998,81.559998,0
2004-12-02,81.449997,82.730003,80.910004,81.900002,81.900002,0
2004-12-09,81.820000,83.180000,81.419998,81.629997,81.629997,0
2004-12-16,81.650002,82.669998,81.379997,81.930000,81.930000,0
2004-12-23,81.949997,81.959999,80.540001,80.970001,80.970001,0
2004-12-30,80.870003,82.919998,80.389999,82.540001,82.540001,0
2005-01-06,82.449997,83.790001,82.000000,82.139999,82.139999,0
2005-01-13,82.209999,83.769997,82.139999,83.599998,83.599998,0
2005-01-20,83.580002,84.080002,83.010002,83.300003,83.300003,0
2005-01-27,83.269997,83.839996,83.040001,83.519997,83.519997,0
2005-02-03,83.550003,85.389999,83.470001,85.019997,85.019997,0
2005-02-10,84.910004,85.440002,83.459999,83.669998,83.669998,0
2005-02-17,83.779999,83.839996,82.400002,82.680000,82.680000,0
2005-02-24,82.919998,83.330002,82.300003,83.080002,83.080002,0
2005-03-03,83.070000,83.410004,81.500000,81.629997,81.629997,0
2005-03-10,81.779999,82.239998,81.279999,81.620003,81.620003,0
2005-03-17,81.629997,84.099998,81.589996,84.000000,84.000000,0
2005-03-24,83.930000,84.739998,83.739998,84.290001,84.290001,0
2005-03-31,84.330002,85.120003,83.559998,84.680000,84.680000,0
2005-04-07,84.760002,85.110001,83.949997,84.419998,84.419998,0
2005-04-14,84.419998,85.320000,83.400002,83.519997,83.519997,0
2005-04-21,83.529999,84.370003,83.360001,84.120003,84.120003,0
2005-04-28,84.260002,84.690002,83.839996,84.000000,84.000000,0
2005-05-05,83.970001,85.059998,83.750000,84.940002,84.940002,0
2005-05-12,84.870003,86.410004,84.849998,85.820000,85.820000,0
2005-05-19,85.839996,86.739998,85.779999,86.349998,86.349998,0
2005-05-26,86.349998,88.180000,86.269997,88.110001,88.110001,0
2005-06-02,88.300003,88.349998,87.150002,87.879997,87.879997,0
2005-06-09,87.889999,89.360001,87.800003,88.650002,88.650002,0
2005-06-16,88.620003,88.989998,87.680000,88.559998,88.559998,0
2005-06-23,88.610001,89.480003,88.320000,89.110001,89.110001,0
2005-06-30,89.099998,90.730003,88.860001,90.379997,90.379997,0
2005-07-07,90.379997,90.769997,88.279999,89.309998,89.309998,0
2005-07-14,89.379997,90.360001,89.099998,89.339996,89.339996,0
2005-07-21,89.349998,90.449997,88.440002,89.730003,89.730003,0
2005-07-28,89.849998,90.010002,87.930000,87.989998,87.989998,0
2005-08-04,88.019997,88.300003,87.449997,87.610001,87.610001,0
2005-08-11,87.599998,88.019997,86.760002,88.000000,88.000000,0
2005-08-18,87.940002,88.900002,87.820000,87.910004,87.910004,0
2005-08-25,87.889999,88.680000,87.430000,87.580002,87.580002,0
2005-09-01,87.589996,87.680000,86.019997,86.970001,86.970001,0
2005-09-08,86.970001,87.919998,86.580002,87.669998,87.669998,0
2005-09-15,87.690002,88.809998,87.610001,88.139999,88.139999,0
2005-09-22,87.959999,89.820000,87.750000,89.470001,89.470001,0
2005-09-29,89.279999,90.239998,89.029999,89.980003,89.980003,0
2005-10-06,89.669998,90.169998,88.529999,89.629997,89.629997,0
2005-10-13,89.669998,90.739998,89.160004,89.989998,89.989998,0
2005-10-20,90.059998,90.430000,89.080002,89.489998,89.489998,0
2005-10-27,89.589996,90.309998,88.820000,89.720001,89.720001,0
2005-11-03,89.739998,91.959999,89.650002,91.500000,91.500000,0
2005-11-10,91.519997,92.629997,91.300003,92.330002,92.330002,0
2005-11-17,92.400002,92.599998,91.150002,91.510002,91.510002,0
2005-11-24,91.820000,92.309998,90.800003,91.570000,91.570000,0
2005-12-01,91.540001,92.320000,91.320000,91.889999,91.889999,0
2005-12-08,91.949997,91.980003,89.519997,89.830002,89.830002,0
2005-12-15,90.019997,91.230003,89.540001,90.940002,90.940002,0
2005-12-22,91.019997,91.330002,90.519997,91.260002,91.260002,0
2005-12-29,91.129997,91.470001,89.010002,89.139999,89.139999,0
2006-01-05,89.269997,89.629997,88.800003,88.989998,88.989998,0
2006-01-12,88.940002,89.669998,88.730003,89.260002,89.260002,0
2006-01-19,89.309998,89.650002,87.830002,88.330002,88.330002,0
2006-01-26,88.419998,89.570000,88.230003,89.510002,89.510002,0
2006-02-02,89.489998,90.550003,89.290001,90.430000,90.430000,0
2006-02-09,90.300003,90.930000,89.699997,90.720001,90.720001,0
