,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,-9.15,-0.084,-6.2,-12.55
1,-7.68,-0.075,-5.19,-10.903
2,3.03,-0.019,2.01,-6.079
3,0.9,-0.03,0.6,-8.112
4,12.54,0.026,8.19,-7.986
5,-9.92,-0.087,-6.73,-13.449
6,-3.73,-0.054,-2.5,-8.986
7,2.3,-0.023,1.53,-8.303
8,10.93,0.019,7.16,-4.662
9,9.95,0.014,6.53,-5.607
10,6.47,-0.002,4.27,-7.795
11,13.1,0.028,8.55,-3.863
12,-7.85,-0.075,-5.3,-9.514
13,0.83,-0.03,0.55,-9.798
14,-2.23,-0.046,-1.49,-8.862
15,-2.77,-0.048,-1.86,-8.727
16,11.76,0.023,7.69,-5.49
17,13.72,0.032,8.95,-3.295
18,6.98,0.0,4.6,-6.322
19,-13.67,-0.111,-9.33,-16.415
20,16.04,0.042,10.42,-3.312
21,-9.63,-0.088,-6.53,-10.206
22,1.1,-0.029,0.73,-9.587
23,-2.45,-0.047,-1.64,-5.831
24,1.24,-0.029,0.82,-6.308
