,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,6.67,-0.0,4.4,-6.577
1,1.56,-0.025,1.04,-10.024
2,1.5,-0.026,1.0,-10.047
3,5.81,-0.004,3.84,-7.542
4,4.89,-0.009,3.23,-9.09
5,0.75,-0.03,0.5,-11.129
6,2.98,-0.018,1.98,-9.681
7,4.58,-0.01,3.03,-8.038
8,2.37,-0.022,1.57,-11.036
9,3.94,-0.014,2.61,-8.615
10,1.84,-0.024,1.22,-9.856
11,5.47,-0.006,3.61,-8.739
12,3.42,-0.016,2.27,-10.871
13,3.39,-0.017,2.25,-8.545
14,7.79,0.005,5.13,-8.747
15,2.93,-0.019,1.94,-9.613
16,-0.29,-0.034,-0.2,-10.52
17,3.74,-0.015,2.48,-8.846
18,3.99,-0.013,2.64,-10.125
19,3.91,-0.014,2.59,-9.463
20,0.41,-0.031,0.27,-8.956
21,1.17,-0.028,0.78,-11.099
22,1.68,-0.025,1.11,-10.482
23,6.55,-0.001,4.32,-8.346
24,2.84,-0.019,1.88,-9.096
