,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,4.57,-0.011,3.03,-7.987
1,3.91,-0.015,2.59,-9.886
2,-0.82,-0.04,-0.55,-10.703
3,1.82,-0.025,1.21,-10.656
4,3.78,-0.015,2.51,-8.574
5,4.23,-0.013,2.8,-10.437
6,4.53,-0.012,2.99,-8.489
7,5.67,-0.006,3.74,-8.012
8,3.17,-0.018,2.1,-8.423
9,2.04,-0.024,1.35,-11.202
10,2.94,-0.019,1.95,-10.487
11,3.78,-0.015,2.51,-8.551
12,4.19,-0.014,2.77,-8.563
13,3.64,-0.016,2.41,-9.623
14,0.38,-0.032,0.25,-12.354
15,4.39,-0.013,2.91,-8.962
16,4.85,-0.01,3.21,-8.385
17,6.07,-0.004,4.0,-6.937
18,3.33,-0.017,2.21,-10.555
19,3.47,-0.017,2.3,-8.504
20,5.63,-0.006,3.72,-7.389
21,2.1,-0.024,1.39,-9.172
22,1.86,-0.025,1.24,-10.472
23,0.85,-0.029,0.57,-10.302
24,2.96,-0.019,1.96,-10.0
