,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,0.31,-0.032,0.21,-10.964
1,3.19,-0.019,2.12,-9.026
2,3.35,-0.018,2.22,-9.008
3,2.75,-0.021,1.83,-9.395
4,4.5,-0.012,2.98,-9.968
5,2.85,-0.02,1.89,-10.354
6,6.37,-0.003,4.2,-7.356
7,2.69,-0.02,1.79,-10.775
8,4.76,-0.011,3.15,-9.465
9,3.21,-0.018,2.13,-9.067
10,2.56,-0.021,1.7,-9.119
11,3.94,-0.014,2.61,-9.414
12,-0.01,-0.034,-0.01,-10.449
13,3.73,-0.016,2.47,-8.806
14,-3.97,-0.054,-2.67,-11.483
15,3.54,-0.017,2.35,-8.594
16,1.73,-0.026,1.15,-10.51
17,5.28,-0.008,3.49,-9.589
18,7.19,0.001,4.73,-8.699
19,3.54,-0.017,2.35,-10.29
20,3.72,-0.016,2.46,-8.762
21,4.77,-0.011,3.16,-8.264
22,-0.91,-0.039,-0.61,-12.01
23,1.61,-0.026,1.07,-9.432
24,3.33,-0.017,2.21,-9.237
