,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,2.78,-0.02,1.84,-9.072
1,-1.14,-0.04,-0.76,-11.579
2,3.15,-0.018,2.09,-9.98
3,4.31,-0.012,2.85,-9.584
4,5.79,-0.006,3.82,-8.598
5,0.49,-0.031,0.33,-9.756
6,4.94,-0.01,3.27,-9.684
7,3.0,-0.02,1.99,-9.539
8,4.88,-0.01,3.22,-8.782
9,5.69,-0.006,3.76,-8.344
10,2.34,-0.022,1.56,-9.366
11,1.08,-0.028,0.72,-9.693
12,2.98,-0.02,1.98,-8.853
13,2.72,-0.021,1.81,-9.447
14,5.11,-0.009,3.38,-7.821
15,4.21,-0.014,2.79,-9.173
16,3.25,-0.019,2.15,-9.412
17,4.11,-0.014,2.72,-9.053
18,4.43,-0.012,2.93,-9.037
19,1.43,-0.027,0.95,-9.989
20,2.76,-0.021,1.83,-9.493
21,4.23,-0.014,2.8,-7.692
22,3.01,-0.019,2.0,-9.593
23,4.0,-0.015,2.65,-10.0
24,6.68,-0.001,4.41,-8.66
