,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,4.0,-0.013,2.65,-8.675
1,3.81,-0.014,2.52,-9.142
2,5.08,-0.008,3.36,-7.68
3,3.9,-0.014,2.58,-7.137
4,0.96,-0.028,0.64,-10.075
5,1.22,-0.028,0.81,-11.425
6,1.66,-0.025,1.11,-11.258
7,2.02,-0.022,1.34,-8.293
8,5.27,-0.007,3.49,-7.53
9,-0.04,-0.034,-0.03,-12.215
10,2.59,-0.02,1.72,-8.402
11,1.79,-0.024,1.19,-10.347
12,4.15,-0.012,2.75,-7.999
13,0.96,-0.029,0.64,-8.991
14,-0.27,-0.034,-0.18,-10.063
15,6.59,0.0,4.35,-9.839
16,4.82,-0.009,3.19,-8.58
17,6.85,0.001,4.52,-7.821
18,3.37,-0.016,2.24,-7.475
19,-0.53,-0.037,-0.35,-11.152
20,5.51,-0.006,3.64,-7.623
21,1.19,-0.027,0.79,-10.507
22,6.42,-0.001,4.23,-9.073
23,3.51,-0.016,2.32,-9.28
24,8.39,0.009,5.52,-8.26
