,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,3.52,-0.017,2.33,-10.417
1,5.15,-0.009,3.41,-9.538
2,3.0,-0.019,1.99,-9.742
3,0.27,-0.032,0.18,-9.476
4,5.13,-0.009,3.39,-9.481
5,5.64,-0.006,3.73,-8.674
6,2.69,-0.021,1.78,-9.331
7,5.36,-0.008,3.54,-8.64
8,3.03,-0.019,2.01,-7.91
9,3.36,-0.017,2.23,-8.124
10,4.58,-0.011,3.03,-9.219
11,3.79,-0.015,2.51,-8.95
12,1.85,-0.026,1.23,-8.464
13,5.38,-0.008,3.55,-7.346
14,1.97,-0.025,1.31,-10.493
15,1.37,-0.027,0.91,-10.797
16,2.1,-0.024,1.4,-10.114
17,2.67,-0.021,1.77,-10.309
18,-0.7,-0.038,-0.47,-11.056
19,3.63,-0.017,2.4,-9.441
20,4.06,-0.014,2.69,-8.853
21,3.12,-0.018,2.07,-8.763
22,0.42,-0.033,0.28,-9.738
23,-0.19,-0.035,-0.13,-11.504
24,1.27,-0.027,0.85,-9.197
