,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,4.03,-0.017,2.67,-7.795
1,4.75,-0.012,3.14,-7.429
2,3.9,-0.015,2.59,-9.505
3,4.44,-0.014,2.94,-7.553
4,3.47,-0.019,2.3,-8.602
5,4.06,-0.017,2.69,-7.799
6,4.36,-0.014,2.88,-8.505
7,2.37,-0.022,1.58,-9.796
8,1.83,-0.025,1.22,-9.328
9,4.98,-0.011,3.29,-7.146
10,3.52,-0.017,2.33,-9.386
11,3.95,-0.017,2.62,-7.88
12,3.87,-0.017,2.56,-8.152
13,3.53,-0.017,2.34,-9.199
14,4.08,-0.015,2.7,-8.241
15,4.41,-0.015,2.92,-7.857
16,3.13,-0.019,2.08,-9.34
17,2.21,-0.023,1.47,-9.892
18,3.29,-0.02,2.18,-8.48
19,3.03,-0.019,2.01,-9.685
20,4.07,-0.015,2.69,-8.435
21,4.16,-0.016,2.75,-8.065
22,3.81,-0.017,2.53,-7.945
23,3.24,-0.021,2.15,-8.03
24,2.93,-0.021,1.94,-9.239
