,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,1.95,-0.024,1.3,-8.531
1,-0.59,-0.037,-0.39,-9.876
2,6.84,-0.0,4.51,-5.919
3,5.34,-0.008,3.53,-8.84
4,0.46,-0.032,0.31,-8.847
5,-1.12,-0.041,-0.75,-10.926
6,6.4,-0.003,4.22,-6.841
7,3.0,-0.019,1.99,-9.36
8,2.28,-0.023,1.51,-8.714
9,1.89,-0.025,1.26,-9.806
10,3.24,-0.018,2.15,-9.619
11,3.35,-0.018,2.22,-8.652
12,1.07,-0.029,0.71,-9.512
13,0.85,-0.03,0.56,-10.42
14,-1.13,-0.04,-0.76,-10.184
15,-1.58,-0.043,-1.06,-13.824
16,4.28,-0.013,2.83,-8.045
17,9.36,0.012,6.15,-5.871
18,5.6,-0.006,3.7,-8.245
19,1.78,-0.026,1.18,-10.087
20,6.44,-0.002,4.25,-8.554
21,-3.51,-0.05,-2.35,-12.487
22,1.7,-0.024,1.13,-8.653
23,7.1,0.001,4.68,-6.354
24,2.6,-0.021,1.73,-10.776
