,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,1.41,-0.032,0.94,-6.402
1,-3.49,-0.06,-2.34,-10.897
2,-1.87,-0.05,-1.25,-5.289
3,-2.43,-0.06,-1.63,-4.986
4,-4.21,-0.071,-2.83,-9.273
5,7.51,0.004,4.94,-7.309
6,-3.35,-0.06,-2.25,-6.324
7,-5.0,-0.069,-3.36,-8.009
8,1.01,-0.036,0.67,-4.527
9,-1.8,-0.054,-1.2,-9.675
10,9.75,0.016,6.4,-4.701
11,-6.66,-0.079,-4.49,-13.364
12,5.62,-0.007,3.71,-3.909
13,-3.44,-0.061,-2.31,-10.054
14,-0.7,-0.047,-0.47,-6.041
15,12.36,0.031,8.08,-6.421
16,5.9,-0.005,3.9,-3.416
17,8.96,0.013,5.89,-5.567
18,3.68,-0.018,2.44,-7.539
19,0.6,-0.035,0.4,-8.833
20,-0.02,-0.04,-0.02,-5.208
21,-2.13,-0.056,-1.43,-11.38
22,2.0,-0.028,1.33,-5.261
23,5.7,-0.007,3.76,-3.87
24,-4.0,-0.066,-2.69,-9.969
