,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,1.78,-0.033,1.18,-5.943
1,-8.96,-0.108,-6.06,-11.253
2,0.91,-0.041,0.61,-5.108
3,-6.91,-0.091,-4.66,-12.392
4,0.83,-0.04,0.56,-5.262
5,7.67,0.004,5.05,-3.754
6,-3.48,-0.072,-2.33,-8.9
7,-4.69,-0.07,-3.15,-10.322
8,5.23,-0.011,3.46,-4.934
9,9.27,0.013,6.09,-4.514
10,2.19,-0.033,1.45,-5.484
11,-2.94,-0.062,-1.97,-7.23
12,3.14,-0.026,2.08,-6.089
13,-0.16,-0.047,-0.11,-6.211
14,12.54,0.033,8.19,-3.609
15,-0.59,-0.048,-0.39,-7.837
16,-6.27,-0.08,-4.23,-12.616
17,-4.13,-0.074,-2.77,-7.89
18,-7.86,-0.097,-5.31,-9.054
19,-1.73,-0.054,-1.16,-6.383
20,-7.6,-0.093,-5.13,-13.209
21,-3.65,-0.081,-2.45,-7.524
22,-7.34,-0.104,-4.96,-9.44
23,-5.47,-0.08,-3.68,-9.622
24,-1.97,-0.059,-1.32,-8.544
