,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,-2.1,-0.102,-1.4,-5.523
1,3.31,-0.039,2.2,-1.929
2,0.47,-0.076,0.31,-2.615
3,4.54,-0.026,3.0,-2.809
4,3.39,-0.037,2.25,-2.166
5,-2.36,-0.102,-1.58,-5.032
6,-1.21,-0.094,-0.81,-5.164
7,-1.83,-0.084,-1.23,-4.284
8,-2.52,-0.105,-1.68,-4.396
9,-5.4,-0.128,-3.63,-6.857
10,2.71,-0.048,1.8,-2.046
11,-2.54,-0.101,-1.7,-3.942
12,0.88,-0.073,0.59,-3.357
13,0.06,-0.068,0.04,-6.845
14,-1.88,-0.082,-1.26,-3.978
15,-2.79,-0.116,-1.87,-5.686
16,5.77,-0.013,3.81,-2.076
17,-0.9,-0.082,-0.6,-3.204
18,-4.55,-0.134,-3.05,-6.709
19,4.12,-0.031,2.73,-2.484
20,-1.53,-0.093,-1.02,-4.7
21,1.51,-0.063,1.01,-3.405
22,-1.8,-0.085,-1.2,-4.263
23,-0.55,-0.074,-0.37,-3.822
24,0.4,-0.071,0.26,-2.143
