,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,0.34,-0.037,0.22,-5.001
1,5.13,-0.01,3.39,-4.982
2,-5.83,-0.07,-3.93,-9.23
3,6.82,-0.001,4.49,-4.761
4,-9.31,-0.1,-6.31,-10.151
5,-2.01,-0.05,-1.34,-5.171
6,4.67,-0.012,3.09,-5.793
7,-0.89,-0.044,-0.6,-8.137
8,13.78,0.035,8.99,-3.551
9,-0.64,-0.043,-0.43,-6.038
10,5.54,-0.008,3.66,-2.763
11,1.4,-0.031,0.93,-6.766
12,-7.8,-0.087,-5.27,-13.798
13,-1.76,-0.048,-1.18,-9.4
14,-1.38,-0.049,-0.92,-8.975
15,0.73,-0.036,0.48,-7.268
16,-3.04,-0.06,-2.04,-6.699
17,-0.54,-0.043,-0.36,-7.4
18,-1.52,-0.047,-1.02,-6.872
19,-9.0,-0.092,-6.09,-13.051
20,-1.57,-0.051,-1.05,-6.413
21,0.92,-0.034,0.61,-5.624
22,-6.31,-0.077,-4.25,-10.583
23,10.4,0.018,6.82,-4.532
24,1.46,-0.032,0.97,-9.277
