,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,-2.01,-0.065,-1.34,-8.376
1,8.57,0.012,5.64,-4.631
2,4.0,-0.019,2.65,-3.406
3,-0.7,-0.052,-0.46,-5.597
4,3.34,-0.024,2.21,-9.065
5,-3.78,-0.075,-2.54,-7.565
6,-6.6,-0.093,-4.45,-9.303
7,-4.28,-0.082,-2.88,-7.075
8,4.01,-0.018,2.66,-3.379
9,-17.74,-0.186,-12.21,-19.019
10,-0.48,-0.054,-0.32,-7.642
11,4.67,-0.013,3.09,-6.193
12,8.12,0.009,5.34,-4.597
13,-1.58,-0.061,-1.06,-4.68
14,5.44,-0.01,3.6,-2.956
15,-2.92,-0.065,-1.96,-9.545
16,-1.35,-0.055,-0.9,-8.064
17,-4.29,-0.079,-2.88,-5.95
18,-9.15,-0.11,-6.2,-9.305
19,-1.17,-0.052,-0.78,-7.403
20,6.24,-0.003,4.12,-3.18
21,-1.03,-0.051,-0.69,-5.588
22,10.25,0.023,6.72,-3.241
23,-6.21,-0.092,-4.18,-8.085
24,-1.68,-0.059,-1.12,-6.998
