,Returns,Sharpes,Annualised Returns,Maximum Drawdowns
0,-2.8,-0.097,-1.88,-5.173
1,-2.79,-0.098,-1.87,-3.99
2,4.98,-0.021,3.29,-1.889
3,1.01,-0.066,0.67,-2.125
4,1.92,-0.052,1.28,-2.326
5,5.44,-0.02,3.59,-1.603
6,-6.87,-0.126,-4.64,-9.649
7,4.26,-0.029,2.82,-2.82
8,-3.97,-0.177,-2.66,-5.53
9,2.31,-0.052,1.54,-3.143
10,-0.38,-0.074,-0.26,-3.416
11,-2.21,-0.162,-1.48,-2.465
12,3.69,-0.036,2.44,-2.341
13,-1.08,-0.109,-0.72,-3.591
14,1.47,-0.067,0.98,-2.369
15,0.89,-0.074,0.59,-2.876
16,3.4,-0.05,2.25,-2.442
17,8.35,0.012,5.49,-1.797
18,4.82,-0.031,3.19,-2.359
19,-4.32,-0.136,-2.9,-7.164
20,0.94,-0.089,0.62,-2.39
21,1.3,-0.067,0.86,-4.127
22,2.73,-0.048,1.81,-2.994
23,-4.12,-0.127,-2.77,-5.129
24,-8.08,-0.177,-5.46,-9.039
